clinic_id,name,address,phone_number,last_number,clinic_code
942b9453-bc1d-4634-ae48-a98b1ab4cd32,Ramirez Diabetes Associates,"433 Jill Springs, New Roberttown, BC K9X 4A9",726-542-3511,,03278
884b08f9-df59-4e45-8c2d-a57e3e32317f,Martin Family Medicine Associates,"9407 Teresa Lane Apt. 849, Barbaraland, AB M2C 7K5",1 (734) 192-8327,,32098
7dc3346c-664d-4a67-b088-7de56297c0f7,East Julie Endocrinology Centre,"503 Linda Locks, Carlshire, SK J8V3R5",+1 (296) 532-8710,,96530
e9383071-dee3-4552-92b8-ef0a6eb10e30,South Aaron Diabetes Centre,"691 James Mountain, Tashatown, QC Y2L 5N7",1-682-814-8932,,77397
836bca8b-103d-4a35-bfb0-4d9314790373,Arroyoburgh Diabetes Clinic,"570 Sarah Wells, Johnbury, PE C9V 3C3",+1 (238) 346-5787,,03905
a6ba3047-7299-48ad-a5cc-3fd386e0bcca,Lake Selena Endocrinology Centre,"50983 Adrian Station, East Carloston, NT X8K 4L9",237-631-1656 x670,,30495
3c65d81a-006a-4034-8a96-1f1639e5a132,Hancock Diabetes Associates,"513 James Mission Apt. 624, Wrightland, NU B2Y 4A3",826-064-7468,,73563
22af13c1-05a6-402b-bff4-3e9b59289599,Wilsonshire Primary Care Centre,"3098 Julie Centers, New Thomashaven, MB X2C 2H4",691-699-8543,,28893
87cf8cdf-f034-4e36-b2aa-769f66110b49,Lake Lisaport Family Medicine Clinic,"2475 Albert Road Apt. 183, Davidstad, BC P8M 9H5",424.118.2449,,00851
8cb49421-510e-42e4-b5aa-d2c31570c806,Hoffmanville Primary Care Centre,"487 Whitehead Vista, North Cynthiaview, AB N3G 8L9",580 598 2620,,44597
b23b5438-98c7-42f1-9c1f-42a7857e3dca,Erikville Endocrinology Clinic,"3315 Dickson Summit, East Michelle, YT S6A 7H4",473-375-4330,,28221
a3f78ca7-b98e-40be-9c0f-fcb2a68bbe0a,South Rachelborough Diabetes Clinic,"1458 Frazier Ville Suite 014, New Sydney, NL E6S 7P9",+1 (608) 835-6159,,12156
4bb59e21-1364-4ab4-842e-cb80b32a6fb9,Ramosborough Diabetes Clinic,"465 Terry Plaza Apt. 366, New Ashley, NS M7M 6J8",414 895 1343,,47052
b85d7ac1-d849-443b-bef4-5cf4b2a48915,Port Susan Family Medicine Clinic,"37917 Mercado Ports, Lake Heather, NU K2G7A4",683-172-7889,,05695
051fea35-29b4-4659-887d-daba18e39a74,Mccarthy Primary Care Associates,"727 Green Gateway Suite 873, Scottport, NB N2N3Y3",766.587.6036,,70284
0651a86d-e60b-41bd-9044-dbbeac159ce6,North Dawnberg Primary Care Centre,"0546 Medina Street Apt. 734, Tuckerfurt, NT H9T1G7",504 653 7556,,10328
508d5878-e9cf-40cd-bfcb-154860dfcedb,Johnson Family Medicine Associates,"70805 Debra Tunnel Apt. 033, New Elijahberg, NU J6T 3L2",1-296-631-9314,,82397
d2d59b80-5b4a-48d6-a2d7-313bf9837941,Ramirez Family Medicine Associates,"651 Smith Manor Suite 165, Zimmermanchester, MB Y7V5T6",637-996-5075 x273,,75674
4aa773ee-c62d-4236-aead-faecc4604989,Thomashaven Diabetes Centre,"9480 Christopher Stravenue Suite 783, Brewerfort, NU C7M 4K5",(355) 744-4313 x518,,06006
6de5ebed-b657-4e63-ae5d-847fb1ce00b6,Little Endocrinology Associates,"749 Hooper Village, West Jeremy, MB A5Y1G1",210-947-7752 x047,,37930
